Geo_GEOID,Pop_Poverty
14000US36005040302,1761
14000US36005040303,1010
14000US36005040304,1280
14000US36005040400,390
14000US36005040501,1135
14000US36005040502,2010
14000US36005040600,672
14000US36005040701,973
14000US36005040702,1665
14000US36005040800,866
14000US36005040900,344
14000US36005041100,991
14000US36005041300,2160
14000US36005041400,486
14000US36005041500,1799
14000US36005041800,326
14000US36005041900,1594
14000US36005042000,1331
14000US36005042100,1426
14000US36005042200,127
14000US36005042300,1077
14000US36005042400,233
14000US36005042500,1464
14000US36005042600,583
14000US36005042800,161
14000US36005042901,1159
14000US36005042902,992
14000US36005043000,771
14000US36005043101,1707
14000US36005043102,1547
14000US36005043400,492
14000US36005043501,302
14000US36005043502,0
14000US36005043503,0
14000US36005043600,255
14000US36005044200,1650
14000US36005044400,574
14000US36005044800,288
14000US36005044901,94
14000US36005044902,230
14000US36005045101,31
14000US36005045102,58
14000US36005045600,81
14000US36005045800,2144
14000US36005046000,720
14000US36005046203,523
14000US36005046204,266
14000US36005046205,377
14000US36005046206,251
14000US36005046207,1621
14000US36005046208,432
14000US36005046209,1633
14000US36005048401,111
14000US36005048402,0
14000US36005050400,0
14000US36005051601,270
14000US36005051602,0
,
14000US36047000100,275
14000US36047000200,370
14000US36047000301,281
14000US36047000501,155
14000US36047000502,68
14000US36047000700,196
14000US36047000900,99
14000US36047001100,84
14000US36047001300,392
14000US36047001501,1030
14000US36047001502,957
14000US36047001801,0
14000US36047001802,0
14000US36047001803,0
14000US36047001804,0
14000US36047002000,470
14000US36047002100,267
14000US36047002200,1128
14000US36047002300,2281
14000US36047002901,2041
14000US36047003000,129
14000US36047003101,185
14000US36047003102,0
14000US36047003300,501
14000US36047003400,345
14000US36047003500,212
14000US36047003600,468
14000US36047003700,158
14000US36047003800,122
14000US36047003900,273
14000US36047004100,310
14000US36047004300,314
14000US36047004400,104
14000US36047004500,121
14000US36047004600,87
14000US36047004700,121
14000US36047004900,150
14000US36047005000,54
14000US36047005100,93
14000US36047005201,350
14000US36047005202,415
14000US36047005301,344
14000US36047005302,5
14000US36047005303,0
14000US36047005400,411
14000US36047005601,206
14000US36047005602,60
14000US36047005800,404
14000US36047005900,86
14000US36047006000,143
14000US36047006200,395
14000US36047006300,136
14000US36047006400,485
14000US36047006500,392
14000US36047006600,493
14000US36047006700,174
14000US36047006800,845
14000US36047006901,72
14000US36047006902,212
14000US36047007000,120
14000US36047007100,1192
14000US36047007200,502
14000US36047007400,1853
14000US36047007500,320
14000US36047007600,1484
14000US36047007700,255
14000US36047007800,718
14000US36047008000,565
14000US36047008200,686
14000US36047008400,557
14000US36047008500,3289
14000US36047008600,0
14000US36047008800,213
14000US36047009001,270
14000US36047009002,55
14000US36047009201,489
14000US36047009202,1101
14000US36047009401,643
14000US36047009402,531
14000US36047009600,1283
14000US36047009800,1414
14000US36047010000,1350
14000US36047010100,428
14000US36047010200,592
14000US36047010401,382
14000US36047010402,851
14000US36047010601,662
14000US36047010602,616
14000US36047010801,534
14000US36047010802,694
14000US36047011000,515
14000US36047011200,1834
14000US36047011400,1307
14000US36047011600,937
14000US36047011700,351
14000US36047011800,371
14000US36047011901,180
14000US36047011902,0
14000US36047012000,222
14000US36047012100,145
14000US36047012200,1448
14000US36047012600,492
14000US36047012700,1216
14000US36047012801,751
14000US36047012901,159
14000US36047012902,253
14000US36047013000,484
14000US36047013100,442
14000US36047013200,553
14000US36047013300,146
14000US36047013400,478
14000US36047013500,186
14000US36047013600,546
14000US36047013700,290
14000US36047013800,326
14000US36047013900,160
14000US36047014000,289
14000US36047014101,108
14000US36047014102,204
14000US36047014200,208
14000US36047014300,283
14000US36047014500,456
14000US36047014700,332
14000US36047014800,124
14000US36047014901,133
14000US36047014902,281
14000US36047015000,157
14000US36047015100,111
14000US36047015200,327
14000US36047015300,92
14000US36047015400,10
14000US36047015500,158
14000US36047015700,188
14000US36047015900,420
14000US36047016000,633
14000US36047016100,122
14000US36047016200,160
14000US36047016300,431
14000US36047016400,0
14000US36047016500,320
14000US36047016600,45
14000US36047016700,124
14000US36047016800,135
14000US36047016900,787
14000US36047017000,291
14000US36047017100,170
14000US36047017200,276
14000US36047017400,97
14000US36047017500,0
14000US36047017600,345
14000US36047017700,0
14000US36047017800,350
14000US36047017900,870
14000US36047018000,340
14000US36047018100,172
14000US36047018200,473
14000US36047018300,206
14000US36047018400,169
14000US36047018501,1225
14000US36047018600,262
14000US36047018700,192
14000US36047018800,308
14000US36047019000,583
14000US36047019100,470
14000US36047019200,641
14000US36047019300,865
14000US36047019400,972
14000US36047019500,476
14000US36047019600,1081
14000US36047019700,177
14000US36047019800,272
14000US36047019900,308
14000US36047020000,384
14000US36047020100,225
14000US36047020200,209
14000US36047020300,141
14000US36047020400,119
14000US36047020500,220
14000US36047020600,304
14000US36047020700,164
14000US36047020800,176
14000US36047021000,1156
14000US36047021100,294
14000US36047021200,813
14000US36047021300,859
14000US36047021400,812
14000US36047021500,777
14000US36047021600,1436
14000US36047021700,542
14000US36047021800,684
14000US36047021900,563
14000US36047022000,2456
14000US36047022100,1067
14000US36047022200,1867
14000US36047022400,1262
14000US36047022600,225
14000US36047022700,297
14000US36047022800,1370
14000US36047022900,457
14000US36047023000,1883
14000US36047023100,272
14000US36047023200,2468
14000US36047023300,1780
14000US36047023400,2442
14000US36047023500,2384
14000US36047023600,2690
14000US36047023800,1532
