Geo_GEOID,Origin_Native_Born,Origin_Foreign_Born,Origin_Foreign_Origin_Naturalized_Citizen,Origin_Foreign_Origin_Not_a_Citizen
14000US36005024100,3686,2935,1303,1632
14000US36005024300,3704,2033,1009,1024
14000US36005024400,1645,501,154,347
14000US36005024501,2508,2363,911,1452
14000US36005024502,2190,1487,366,1121
14000US36005024600,1501,510,238,272
14000US36005024700,1009,1049,449,600
14000US36005024800,2074,1004,610,394
14000US36005024900,0,0,0,0
14000US36005025000,1903,688,360,328
14000US36005025100,3752,3608,1125,2483
14000US36005025200,1988,799,385,414
14000US36005025300,3183,3016,1260,1756
14000US36005025400,1548,449,256,193
14000US36005025500,3098,4576,2138,2438
14000US36005025600,1399,297,143,154
14000US36005025700,1060,939,485,454
14000US36005026100,1557,540,439,101
14000US36005026300,3805,2413,1381,1032
14000US36005026400,3277,1591,1114,477
14000US36005026500,3942,3909,1918,1991
14000US36005026601,3027,425,290,135
14000US36005026602,3955,1129,894,235
14000US36005026701,2136,2049,709,1340
14000US36005026702,4197,3698,1752,1946
14000US36005026900,2285,1418,736,682
14000US36005027300,4067,3711,1973,1738
14000US36005027401,3721,972,742,230
14000US36005027402,2967,514,401,113
14000US36005027600,24,0,0,0
14000US36005027700,2633,2027,1044,983
14000US36005027900,4906,2473,1712,761
14000US36005028100,2678,1276,1071,205
14000US36005028300,1960,529,356,173
14000US36005028400,489,65,39,26
14000US36005028500,2165,1358,700,658
14000US36005028600,806,279,179,100
14000US36005028700,1726,1427,749,678
14000US36005028800,2402,928,279,649
14000US36005028900,2840,1967,960,1007
14000US36005029301,1409,397,311,86
14000US36005029302,4489,1080,704,376
14000US36005029500,3437,1127,942,185
14000US36005029600,1011,564,210,354
14000US36005029700,2941,858,741,117
14000US36005030000,4587,1434,892,542
14000US36005030100,1185,228,220,8
14000US36005030200,5843,2861,1803,1058
14000US36005030701,4465,1261,926,335
14000US36005030900,2917,792,459,333
14000US36005031000,3311,1442,1027,415
14000US36005031200,1042,636,513,123
14000US36005031400,1343,736,518,218
14000US36005031600,1275,625,480,145
14000US36005031800,1402,777,661,116
14000US36005031900,606,27,0,27
14000US36005032300,3452,1123,693,430
14000US36005032400,1932,1245,459,786
14000US36005032600,2030,1377,884,493
14000US36005032800,2601,1238,524,714
14000US36005033000,3157,2619,1578,1041
14000US36005033201,3793,1771,629,1142
14000US36005033202,3202,831,464,367
14000US36005033400,14,1,0,1
14000US36005033500,1688,360,201,159
14000US36005033600,4999,1715,1048,667
14000US36005033700,1890,631,480,151
14000US36005033800,2243,1862,1000,862
14000US36005034000,3311,2295,1165,1130
14000US36005034200,914,974,656,318
14000US36005034300,1308,357,232,125
14000US36005034400,1295,877,441,436
14000US36005034500,2517,1023,575,448
14000US36005034800,4176,1531,1185,346
14000US36005035000,1003,1060,732,328
14000US36005035100,3141,599,386,213
14000US36005035600,1286,968,668,300
14000US36005035800,5023,3149,2143,1006
14000US36005035900,1414,639,247,392
14000US36005036000,2010,1261,828,433
